Translator,Poem ID,OP>,Exact(E),Field(F),Group(G),Total(T),Unmatch(U),CT,Original(W),Annotation(A),FG-paraphrase(P1),U-paraphrase(P2),Pure-addition,Gap
kaneko,0615,17,0.41,0.24,0.06,0.71,0.29,52,0.13,0.87,0.10,0.23,0.54,0.13
kaneko,0616,19,0.79,0.05,0.16,1.00,0.00,59,0.27,0.73,0.07,0.00,0.66,0.02
kaneko,0617,15,0.80,0.07,0.00,0.87,0.13,51,0.25,0.75,0.02,0.10,0.63,0.08
kaneko,0618,15,0.67,0.27,0.00,0.93,0.07,77,0.13,0.87,0.05,0.05,0.76,0.04
kaneko,0619,18,0.67,0.17,0.06,0.89,0.11,40,0.30,0.70,0.15,0.06,0.49,0.06
kaneko,0620,14,0.36,0.14,0.21,0.71,0.29,45,0.11,0.89,0.16,0.21,0.52,0.17
kaneko,0621,17,0.53,0.24,0.12,0.88,0.12,55,0.16,0.84,0.11,0.09,0.64,0.05
kaneko,0622,20,0.55,0.30,0.15,1.00,0.00,61,0.20,0.80,0.15,0.00,0.66,0.02
kaneko,0623,20,0.40,0.20,0.15,0.75,0.25,67,0.12,0.88,0.09,0.20,0.59,0.11
kaneko,0624,19,0.74,0.00,0.16,0.89,0.11,52,0.27,0.73,0.08,0.07,0.59,0.05
kaneko,0625,13,0.54,0.31,0.15,1.00,0.00,41,0.17,0.83,0.17,0.00,0.66,0.02
kaneko,0626,16,0.44,0.25,0.19,0.88,0.12,58,0.12,0.88,0.12,0.09,0.66,0.06
kaneko,0627,17,0.35,0.41,0.06,0.82,0.18,56,0.11,0.89,0.16,0.13,0.60,0.09
kaneko,0628,14,0.57,0.21,0.00,0.79,0.21,37,0.22,0.78,0.08,0.15,0.55,0.07
kaneko,0629,14,0.36,0.00,0.14,0.50,0.50,41,0.12,0.88,0.07,0.40,0.40,0.26
kaneko,0630,20,0.60,0.10,0.15,0.85,0.15,37,0.35,0.65,0.14,0.08,0.44,0.02
kaneko,0631,19,0.53,0.11,0.05,0.68,0.32,48,0.21,0.79,0.08,0.22,0.48,0.12
kaneko,0632,17,0.29,0.29,0.06,0.65,0.35,27,0.19,0.81,0.30,0.18,0.34,0.03
kaneko,0633,14,0.71,0.14,0.00,0.86,0.14,36,0.28,0.72,0.06,0.10,0.57,0.04
kaneko,0634,14,0.50,0.07,0.21,0.79,0.21,35,0.20,0.80,0.14,0.14,0.52,0.08
kaneko,0635,20,0.55,0.30,0.05,0.90,0.10,54,0.22,0.78,0.13,0.06,0.58,0.05
kaneko,0636,18,0.39,0.22,0.11,0.72,0.28,31,0.26,0.74,0.23,0.14,0.37,0.05
kaneko,0637,12,0.25,0.42,0.25,0.92,0.08,38,0.08,0.92,0.26,0.05,0.60,0.08
kaneko,0638,17,0.65,0.06,0.06,0.76,0.24,39,0.28,0.72,0.05,0.16,0.51,0.05
kaneko,0639,17,0.65,0.06,0.12,0.82,0.18,45,0.24,0.76,0.09,0.12,0.55,0.07
kaneko,0640,14,0.57,0.14,0.29,1.00,0.00,19,0.42,0.58,0.32,0.00,0.26,0.00
kaneko,0641,14,0.86,0.07,0.00,0.93,0.07,34,0.35,0.65,0.03,0.04,0.57,0.01
kaneko,0642,18,0.44,0.17,0.11,0.72,0.28,45,0.16,0.84,0.11,0.20,0.53,0.07
kaneko,0643,16,0.44,0.12,0.12,0.69,0.31,51,0.14,0.86,0.10,0.24,0.53,0.16
kaneko,0644,15,0.53,0.13,0.13,0.80,0.20,48,0.17,0.83,0.08,0.15,0.60,0.09
kaneko,0645,20,0.40,0.35,0.20,0.95,0.05,81,0.10,0.90,0.14,0.04,0.73,0.03
kaneko,0646,14,0.50,0.50,0.00,1.00,0.00,55,0.13,0.87,0.13,0.00,0.75,0.00
